Date,Open,High,Low,Close,Adj_Close,Volume
14/05/62,5.68515,5.793499,5.586361,5.793499,1.282209,2855580
15/05/62,5.793499,5.901848,5.761632,5.761632,1.275155,1765125
16/05/62,5.761632,5.857234,5.761632,5.825366,1.289261,925710
17/05/62,5.825366,5.825366,5.697897,5.723391,1.266693,1019850
18/05/62,5.723391,5.755258,5.678776,5.755258,1.273745,768810
21/05/62,5.755258,5.755258,5.68515,5.736138,1.269514,415785
22/05/62,5.729764,5.729764,5.544933,5.544933,1.227196,1051230
23/05/62,5.544933,5.583174,5.29318,5.29318,1.171478,3028170
24/05/62,5.29318,5.43021,5.073295,5.073295,1.122814,4346130
25/05/62,5.073295,5.188018,4.945825,5.079669,1.124225,4503030
28/05/62,5.060548,5.060548,4.525175,4.601657,1.018431,4518720
29/05/62,4.659018,4.933078,4.659018,4.882091,1.080497,4040175
31/05/62,4.971319,5.098789,4.971319,5.003187,1.107299,4322595
01/06/62,4.984066,4.984066,4.878904,4.907584,1.08614,2526090
04/06/62,4.84385,4.84385,4.58891,4.58891,1.015611,1898490
05/06/62,4.58891,4.767368,4.499681,4.641491,1.027248,3310590
06/06/62,4.641491,4.792862,4.614404,4.659018,1.031126,3012480
07/06/62,4.690886,4.767368,4.690886,4.71638,1.043822,1286580
08/06/62,4.719567,4.792862,4.719567,4.732314,1.047349,1223820
11/06/62,4.732314,4.741874,4.56979,4.576163,1.012789,1247355
12/06/62,4.525175,4.525175,4.271829,4.271829,0.945435,3483180
13/06/62,4.271829,4.372212,4.107712,4.112492,0.91017,4589325
14/06/62,4.112492,4.228808,3.824092,3.900574,0.86327,6989895
15/06/62,3.900574,4.263862,3.830465,4.251115,0.940851,6621180
18/06/62,4.251115,4.330784,4.047164,4.203314,0.930271,4989420
19/06/62,4.203314,4.282983,4.155513,4.282983,0.947903,2204445
20/06/62,4.282983,4.369025,4.181007,4.181007,0.925334,3200760
21/06/62,4.130019,4.130019,4.018483,4.024857,0.890775,3883275
22/06/62,4.024857,4.098152,3.957935,4.079031,0.902765,3530250
25/06/62,4.079031,4.282983,4.02167,4.238368,0.938029,3969570
26/06/62,4.238368,4.321224,4.079031,4.079031,0.902765,3381195
27/06/62,4.085405,4.244742,4.085405,4.244742,0.93944,3098775
28/06/62,4.273423,4.44232,4.273423,4.384959,0.970473,4275525
29/06/62,4.384959,4.429573,4.311663,4.32441,0.957072,2957565
02/07/62,4.32441,4.46144,4.31485,4.46144,0.987399,1459170
03/07/62,4.46144,4.509242,4.435946,4.480561,0.991631,2706525
05/07/62,4.480561,4.499681,4.445507,4.46144,0.987399,2110305
06/07/62,4.410453,4.410453,4.359465,4.397706,0.973294,1702365
09/07/62,4.397706,4.467814,4.346718,4.464627,0.988105,1976940
10/07/62,4.541109,4.611217,4.541109,4.572976,1.012084,3192915
11/07/62,4.572976,4.773741,4.553856,4.772148,1.056165,3467490
12/07/62,4.783301,4.968133,4.783301,4.831103,1.069212,3451800
13/07/62,4.831103,4.86297,4.748247,4.796048,1.061454,2204445
16/07/62,4.796048,4.875717,4.748247,4.875717,1.079086,1733745
17/07/62,4.875717,4.901211,4.71638,4.717973,1.044175,1788660
18/07/62,4.717973,4.741874,4.614404,4.655832,1.030421,2549625
19/07/62,4.681326,4.792862,4.681326,4.684512,1.036769,2298585
20/07/62,4.697259,4.767368,4.697259,4.741874,1.049464,713895
23/07/62,4.741874,4.805609,4.7355,4.754621,1.052286,878640
24/07/62,4.729127,4.729127,4.630338,4.630338,1.02478,933555
25/07/62,4.630338,4.697259,4.572976,4.684512,1.036769,1969095
26/07/62,4.70682,4.754621,4.70682,4.710006,1.042411,996315
27/07/62,4.710006,4.791268,4.70682,4.791268,1.060396,996315
30/07/62,4.821542,4.937859,4.821542,4.937859,1.092839,2981100
31/07/62,4.937859,5.015934,4.933078,4.933078,1.091782,2902650
01/08/62,4.920331,4.920331,4.796048,4.796048,1.061454,1278735
02/08/62,4.799235,4.917145,4.799235,4.917145,1.088255,1561155
03/08/62,4.917145,4.939452,4.869344,4.907584,1.08614,996315
06/08/62,4.907584,4.926705,4.837476,4.84385,1.072034,6911445
07/08/62,4.839069,4.839069,4.757808,4.757808,1.053199,964935
08/08/62,4.757808,4.882091,4.722753,4.866157,1.077184,1655295
09/08/62,4.86297,4.86297,4.781708,4.799235,1.062369,1349340
10/08/62,4.799235,4.840663,4.781708,4.789675,1.060253,1027695
13/08/62,4.792862,4.840663,4.792862,4.827916,1.068718,1066920
14/08/62,4.827916,4.920331,4.819949,4.920331,1.089176,1984785
15/08/62,4.926705,5.025494,4.926705,4.926705,1.090586,2455485
16/08/62,4.926705,5.006373,4.917145,4.923518,1.089881,1333650
17/08/62,4.923518,4.99044,4.920331,4.964946,1.099051,933555
20/08/62,4.99044,5.063735,4.99044,5.01912,1.111043,1890645
21/08/62,5.01912,5.073295,4.996813,5.006373,1.108222,1357185
22/08/62,5.015934,5.245379,5.015934,5.213512,1.154074,3459645
23/08/62,5.213512,5.286807,5.191205,5.232632,1.158307,3059550
24/08/62,5.232632,5.239006,5.194391,5.213512,1.154074,1310115
27/08/62,5.213512,5.248566,5.194391,5.200765,1.151252,957090
28/08/62,5.197578,5.197578,5.015934,5.015934,1.110339,2879115
29/08/62,5.015934,5.047801,4.949012,4.984066,1.103284,2635920
30/08/62,4.984066,5.028681,4.933078,4.942639,1.094113,996315
31/08/62,4.952199,5.070108,4.952199,5.050988,1.118098,1286580
04/09/62,5.050988,5.117909,4.920331,4.939452,1.093408,1702365
05/09/62,4.939452,4.996813,4.86297,4.882091,1.08071,2353500
06/09/62,4.882091,4.956979,4.856597,4.945825,1.094819,1898490
07/09/62,4.945825,4.982473,4.87253,4.87253,1.078594,1380720
10/09/62,4.87253,4.929892,4.811982,4.898024,1.084237,1890645
11/09/62,4.898024,4.942639,4.856597,4.869344,1.077889,1616070
12/09/62,4.875717,4.926705,4.875717,4.890057,1.082473,1365030
13/09/62,4.890057,4.926705,4.886871,4.888464,1.082121,886485
14/09/62,4.888464,4.958572,4.882091,4.949012,1.095525,1145370
17/09/62,4.958572,5.044614,4.958572,5.035054,1.11457,1529775
18/09/62,5.035054,5.097196,4.99044,4.996813,1.106106,2384880
19/09/62,4.996813,5.015934,4.923518,4.923518,1.089881,1537620
20/09/62,4.923518,4.964946,4.87253,4.878904,1.080005,925710
21/09/62,4.875717,4.875717,4.786488,4.802422,1.063075,2235825
24/09/62,4.748247,4.748247,4.611217,4.614404,1.021454,2745750
25/09/62,4.614404,4.70682,4.576163,4.70682,1.041912,2557470
26/09/62,4.70682,4.713193,4.531549,4.531549,1.003114,2149530
27/09/62,4.531549,4.585723,4.44232,4.46144,0.987593,3012480
28/09/62,4.464627,4.544296,4.464627,4.506055,0.99747,1482705
01/10/62,4.506055,4.506055,4.337157,4.338751,0.960436,1937715
02/10/62,4.375398,4.477374,4.375398,4.466221,0.988652,2965410
03/10/62,4.466221,4.537922,4.423199,4.44232,0.983361,1882800
04/10/62,4.44232,4.563416,4.423199,4.560229,1.009462,1365030
05/10/62,4.560229,4.612811,4.528362,4.592097,1.016516,1820040
08/10/62,4.592097,4.608031,4.576163,4.585723,1.015105,666825
09/10/62,4.601657,4.684512,4.601657,4.668579,1.033447,1239510
10/10/62,4.668579,4.738687,4.553856,4.577757,1.013342,1898490
11/10/62,4.577757,4.633525,4.528362,4.537922,1.004524,1427790
12/10/62,4.537922,4.547482,4.486934,4.528362,1.002408,1090455
15/10/62,4.550669,4.678139,4.550669,4.678139,1.035563,972780
16/10/62,4.678139,4.697259,4.557043,4.557043,1.008757,1317960
17/10/62,4.557043,4.652645,4.531549,4.608031,1.020043,1443480
18/10/62,4.608031,4.639898,4.526769,4.526769,1.002056,1027695
19/10/62,4.526769,4.537922,4.435946,4.43754,0.982303,2479020
22/10/62,4.396112,4.396112,4.318037,4.372212,0.967842,2871270
23/10/62,4.372212,4.372212,4.206501,4.206501,0.93116,2635920
24/10/62,4.206501,4.333971,4.104525,4.333971,0.959377,3859740
25/10/62,4.333971,4.340344,4.231995,4.31485,0.955144,2800665
26/10/62,4.29573,4.29573,4.196941,4.225621,0.935392,1623915
29/10/62,4.308477,4.394519,4.308477,4.391332,0.972075,3687150
30/10/62,4.391332,4.486934,4.348311,4.483748,0.992532,2769285
31/10/62,4.474187,4.474187,4.388145,4.410453,0.976308,1231665
01/11/62,4.410453,4.486934,4.359465,4.486934,0.993237,2086770
02/11/62,4.486934,4.714786,4.423199,4.553856,1.008051,3279210
05/11/62,4.57935,4.643085,4.57935,4.608031,1.020257,1812195
07/11/62,4.608031,4.671765,4.537922,4.604844,1.019552,1827885
08/11/62,4.604844,4.652645,4.528362,4.528362,1.002618,1333650
09/11/62,4.550669,4.608031,4.550669,4.604844,1.019552,1153215
12/11/62,4.659018,4.767368,4.659018,4.760994,1.054125,2275050
13/11/62,4.760994,4.786488,4.674952,4.674952,1.035075,2212290
14/11/62,4.681326,4.786488,4.681326,4.773741,1.056947,1929870
15/11/62,4.773741,4.835883,4.748247,4.748247,1.051303,2180910
16/11/62,4.748247,4.824729,4.703633,4.824729,1.068237,1569000
19/11/62,4.824729,4.824729,4.741874,4.741874,1.049892,980625
20/11/62,4.767368,4.823136,4.767368,4.797642,1.062239,1176750
21/11/62,4.797642,4.840663,4.773741,4.808795,1.064708,1670985
23/11/62,4.808795,4.945825,4.783301,4.945825,1.095049,2894805
26/11/62,4.945825,5.031867,4.926705,4.955386,1.097165,2243670
27/11/62,4.955386,5.044614,4.926705,5.031867,1.114099,1812195
28/11/62,5.041428,5.111536,5.041428,5.066922,1.12186,2784975
29/11/62,5.066922,5.111536,5.057361,5.111536,1.131738,1835730
30/11/62,5.111536,5.121096,5.063735,5.079669,1.124683,1365030
03/12/62,5.028681,5.028681,4.974506,4.99044,1.104926,1349340
04/12/62,5.003187,5.109943,5.003187,5.101976,1.129622,1843575
05/12/62,5.101976,5.175271,5.082855,5.082855,1.125388,2243670
06/12/62,5.082855,5.14659,5.073295,5.079669,1.124683,1451325
07/12/62,5.079669,5.133843,5.066922,5.066922,1.12186,1168905
10/12/62,5.066922,5.108349,4.958572,4.958572,1.09787,1545465
11/12/62,4.958572,5.003187,4.923518,4.939452,1.093637,1184595
12/12/62,4.964946,5.028681,4.964946,5.01912,1.111276,808035
13/12/62,5.01912,5.044614,4.939452,4.945825,1.095049,1176750
14/12/62,4.945825,4.98088,4.913958,4.964946,1.099282,1043385
17/12/62,4.964946,4.996813,4.894837,4.907584,1.086583,949245
18/12/62,4.907584,4.949012,4.86297,4.87253,1.078821,917865
19/12/62,4.87253,5.003187,4.87253,4.998407,1.10669,1012005
20/12/62,4.998407,5.060548,4.998407,4.998407,1.10669,1333650
21/12/62,4.998407,5.015934,4.910771,4.910771,1.087287,941400
24/12/62,4.944232,5.022307,4.944232,5.022307,1.111983,713895
26/12/62,5.022307,5.060548,5,5.01912,1.111276,760965
27/12/62,5.01912,5.044614,4.964946,4.984066,1.103516,823725
28/12/62,4.984066,5.00956,4.977693,5.003187,1.107749,611910
31/12/62,5.003187,5.031867,4.964946,4.971319,1.100694,1098300
02/01/63,4.971319,4.971319,4.898024,4.904398,1.085876,2502555
03/01/63,4.913958,5.054175,4.913958,5.054175,1.119038,1176750
04/01/63,5.060548,5.108349,5.060548,5.060548,1.120449,1608225
07/01/63,5.060548,5.108349,5.00956,5.01912,1.111276,925710
08/01/63,5.060548,5.143403,5.060548,5.143403,1.138794,1890645
09/01/63,5.143403,5.194391,5.114723,5.14659,1.1395,2000475
10/01/63,5.159337,5.213512,5.159337,5.181644,1.147261,1623915
11/01/63,5.181644,5.197578,5.149777,5.197578,1.150788,1412100
14/01/63,5.197578,5.286807,5.197578,5.280433,1.169133,2588850
15/01/63,5.280433,5.328235,5.258126,5.289994,1.17125,2180910
16/01/63,5.28362,5.28362,5.188018,5.207138,1.152906,1325805
17/01/63,5.216699,5.286807,5.216699,5.27406,1.167724,1270890
18/01/63,5.27406,5.296367,5.232632,5.258126,1.164194,894330
21/01/63,5.258126,5.277247,5.207138,5.277247,1.168429,917865
22/01/63,5.277247,5.337795,5.277247,5.286807,1.170545,972780
23/01/63,5.286807,5.309114,5.270873,5.280433,1.169133,690360
24/01/63,5.280433,5.334608,5.277247,5.302741,1.174073,972780
25/01/63,5.302741,5.334608,5.277247,5.334608,1.181128,729585
28/01/63,5.350542,5.41109,5.350542,5.41109,1.198062,1663140
29/01/63,5.41109,5.41109,5.372849,5.376036,1.1903,776655
30/01/63,5.376036,5.382409,5.328235,5.347355,1.18395,753120
31/01/63,5.347355,5.404716,5.328235,5.40153,1.195945,1043385
01/02/63,5.40153,5.41587,5.391969,5.40153,1.195945,564840
04/02/63,5.40153,5.407903,5.350542,5.356915,1.186067,658980
05/02/63,5.356915,5.376036,5.321861,5.366475,1.188467,800190
06/02/63,5.366475,5.40153,5.331421,5.331421,1.180704,737430
07/02/63,5.340982,5.385596,5.340982,5.340982,1.182821,682515
08/02/63,5.340982,5.372849,5.328235,5.353728,1.185645,627600
11/02/63,5.353728,5.363289,5.325048,5.325048,1.179293,478545
12/02/63,5.325048,5.334608,5.267686,5.334608,1.18141,957090
13/02/63,5.334608,5.353728,5.321861,5.321861,1.178586,658980
14/02/63,5.323454,5.363289,5.323454,5.325048,1.179293,878640
15/02/63,5.325048,5.350542,5.321861,5.337795,1.182115,596220
18/02/63,5.337795,5.347355,5.325048,5.326641,1.179644,470700
19/02/63,5.326641,5.331421,5.280433,5.28362,1.170118,800190
20/02/63,5.270873,5.270873,5.219885,5.239006,1.160237,941400
21/02/63,5.239006,5.239006,5.175271,5.229446,1.158121,878640
25/02/63,5.226259,5.226259,5.149777,5.149777,1.140476,635445
26/02/63,5.149777,5.216699,5.133843,5.184831,1.14824,847260
27/02/63,5.184831,5.215105,5.162524,5.165711,1.144006,462855
